row_id,store_id,store_type,store_size,region,dept_id,dept_name,week_date,weekly_sales,is_holiday,temperature,fuel_price,cpi,unemployment
1,1,A,151315,North,1,Grocery,2023-01-06,80330.52,0,39.7,2.926,133.16,6.039
2,1,A,151315,North,2,Dairy,2023-01-06,37687.68,0,39.7,2.926,133.16,6.039
3,1,A,151315,North,3,Produce,2023-01-06,30818.71,0,39.7,2.926,133.16,6.039
4,1,A,151315,North,4,Bakery,2023-01-06,16867.54,0,39.7,2.926,133.16,6.039
5,1,A,151315,North,5,Frozen Foods,2023-01-06,20131.69,0,39.7,2.926,133.16,6.039
6,1,A,151315,North,6,Meat & Seafood,2023-01-06,29324.4,0,39.7,2.926,133.16,6.039
7,1,A,151315,North,7,Beverages,2023-01-06,22801.64,0,39.7,2.926,133.16,6.039
8,1,A,151315,North,8,Snacks,2023-01-06,24605.85,0,39.7,2.926,133.16,6.039
9,1,A,151315,North,9,Household,2023-01-06,20104.21,0,39.7,2.926,133.16,6.039
10,1,A,151315,North,10,Health & Beauty,2023-01-06,19506.96,0,39.7,2.926,133.16,6.039
11,1,A,151315,North,11,Electronics,2023-01-06,37326.44,0,39.7,2.926,133.16,6.039
12,1,A,151315,North,12,Apparel,2023-01-06,22291.58,0,39.7,2.926,133.16,6.039
13,1,A,151315,North,13,Toys,2023-01-06,14561.18,0,39.7,2.926,133.16,6.039
14,1,A,151315,North,14,Pharmacy,2023-01-06,37120.38,0,39.7,2.926,133.16,6.039
15,1,A,151315,North,16,Home & Garden,2023-01-06,20089.17,0,39.7,2.926,133.16,6.039
16,1,A,151315,North,17,Sporting Goods,2023-01-06,12684.26,0,39.7,2.926,133.16,6.039
17,1,A,151315,North,18,Office Supplies,2023-01-06,9617.31,0,39.7,2.926,133.16,6.039
18,1,A,151315,North,19,Pet Supplies,2023-01-06,10501.61,0,39.7,2.926,133.16,6.039
19,1,A,151315,North,20,Automotive,2023-01-06,17604.36,0,39.7,2.926,133.16,6.039
20,1,A,151315,North,21,Hardware,2023-01-06,9635.84,0,39.7,2.926,133.16,6.039
21,1,A,151315,North,22,Furniture,2023-01-06,20045.13,0,39.7,2.926,133.16,6.039
22,1,A,151315,North,23,Jewelry,2023-01-06,5794.54,0,39.7,2.926,133.16,6.039
23,1,A,151315,North,24,Books & Media,2023-01-06,7050.23,0,39.7,2.926,133.16,6.039
24,1,A,151315,North,25,Baby Products,2023-01-06,12284.08,0,39.7,2.926,133.16,6.039
25,1,A,151315,North,1,Grocery,2023-01-13,80613.35,0,30.1,3.572,133.028,7.029
26,1,A,151315,North,2,Dairy,2023-01-13,34119.22,0,30.1,3.572,133.028,7.029
27,1,A,151315,North,3,Produce,2023-01-13,30835.79,0,30.1,3.572,133.028,7.029
28,1,A,151315,North,4,Bakery,2023-01-13,15345.39,0,30.1,3.572,133.028,7.029
29,1,A,151315,North,5,Frozen Foods,2023-01-13,24640.05,0,30.1,3.572,133.028,7.029
30,1,A,151315,North,6,Meat & Seafood,2023-01-13,29270.07,0,30.1,3.572,133.028,7.029
31,1,A,151315,North,7,Beverages,2023-01-13,24720.31,0,30.1,3.572,133.028,7.029
32,1,A,151315,North,8,Snacks,2023-01-13,28770.0,0,30.1,3.572,133.028,7.029
33,1,A,151315,North,9,Household,2023-01-13,20281.1,0,30.1,3.572,133.028,7.029
34,1,A,151315,North,10,Health & Beauty,2023-01-13,16697.86,0,30.1,3.572,133.028,7.029
35,1,A,151315,North,11,Electronics,2023-01-13,45790.81,0,30.1,3.572,133.028,7.029
36,1,A,151315,North,12,Apparel,2023-01-13,25761.27,0,30.1,3.572,133.028,7.029
37,1,A,151315,North,13,Toys,2023-01-13,12948.29,0,30.1,3.572,133.028,7.029
38,1,A,151315,North,14,Pharmacy,2023-01-13,33455.65,0,30.1,3.572,133.028,7.029
39,1,A,151315,North,16,Home & Garden,2023-01-13,19783.42,0,30.1,3.572,133.028,7.029
40,1,A,151315,North,17,Sporting Goods,2023-01-13,14563.16,0,30.1,3.572,133.028,7.029
41,1,A,151315,North,18,Office Supplies,2023-01-13,8994.23,0,30.1,3.572,133.028,7.029
42,1,A,151315,North,19,Pet Supplies,2023-01-13,11381.72,0,30.1,3.572,133.028,7.029
43,1,A,151315,North,20,Automotive,2023-01-13,18184.71,0,30.1,3.572,133.028,7.029
44,1,A,151315,North,21,Hardware,2023-01-13,9106.54,0,30.1,3.572,133.028,7.029
45,1,A,151315,North,22,Furniture,2023-01-13,21888.8,0,30.1,3.572,133.028,7.029
46,1,A,151315,North,23,Jewelry,2023-01-13,7049.9,0,30.1,3.572,133.028,7.029
47,1,A,151315,North,24,Books & Media,2023-01-13,6699.05,0,30.1,3.572,133.028,7.029
48,1,A,151315,North,25,Baby Products,2023-01-13,11182.85,0,30.1,3.572,133.028,7.029
49,1,A,151315,North,1,Grocery,2023-01-20,88427.33,0,20.6,3.702,134.41,7.691
50,1,A,151315,North,2,Dairy,2023-01-20,37075.76,0,20.6,3.702,134.41,7.691
51,1,A,151315,North,3,Produce,2023-01-20,37611.65,0,20.6,3.702,134.41,7.691
52,1,A,151315,North,4,Bakery,2023-01-20,17306.47,0,20.6,3.702,134.41,7.691
53,1,A,151315,North,5,Frozen Foods,2023-01-20,23935.27,0,20.6,3.702,134.41,7.691
54,1,A,151315,North,6,Meat & Seafood,2023-01-20,29526.9,0,20.6,3.702,134.41,7.691
55,1,A,151315,North,7,Beverages,2023-01-20,28850.11,0,20.6,3.702,134.41,7.691
56,1,A,151315,North,8,Snacks,2023-01-20,31791.99,0,20.6,3.702,134.41,7.691
57,1,A,151315,North,9,Household,2023-01-20,20410.16,0,20.6,3.702,134.41,7.691
58,1,A,151315,North,10,Health & Beauty,2023-01-20,18639.85,0,20.6,3.702,134.41,7.691
59,1,A,151315,North,11,Electronics,2023-01-20,36529.55,0,20.6,3.702,134.41,7.691
60,1,A,151315,North,12,Apparel,2023-01-20,25779.48,0,20.6,3.702,134.41,7.691
61,1,A,151315,North,13,Toys,2023-01-20,14644.04,0,20.6,3.702,134.41,7.691
62,1,A,151315,North,14,Pharmacy,2023-01-20,37565.97,0,20.6,3.702,134.41,7.691
63,1,A,151315,North,16,Home & Garden,2023-01-20,21531.3,0,20.6,3.702,134.41,7.691
64,1,A,151315,North,17,Sporting Goods,2023-01-20,12244.11,0,20.6,3.702,134.41,7.691
65,1,A,151315,North,18,Office Supplies,2023-01-20,8126.68,0,20.6,3.702,134.41,7.691
66,1,A,151315,North,19,Pet Supplies,2023-01-20,12769.99,0,20.6,3.702,134.41,7.691
67,1,A,151315,North,20,Automotive,2023-01-20,13618.34,0,20.6,3.702,134.41,7.691
68,1,A,151315,North,21,Hardware,2023-01-20,10166.81,0,20.6,3.702,134.41,7.691
69,1,A,151315,North,22,Furniture,2023-01-20,20205.3,0,20.6,3.702,134.41,7.691
70,1,A,151315,North,23,Jewelry,2023-01-20,5793.17,0,20.6,3.702,134.41,7.691
71,1,A,151315,North,24,Books & Media,2023-01-20,6490.29,0,20.6,3.702,134.41,7.691
72,1,A,151315,North,25,Baby Products,2023-01-20,12122.87,0,20.6,3.702,134.41,7.691
73,1,A,151315,North,1,Grocery,2023-01-27,69475.01,0,26.7,3.071,130.3,8.676
74,1,A,151315,North,2,Dairy,2023-01-27,38671.38,0,26.7,3.071,130.3,8.676
75,1,A,151315,North,3,Produce,2023-01-27,36056.98,0,26.7,3.071,130.3,8.676
76,1,A,151315,North,4,Bakery,2023-01-27,18765.7,0,26.7,3.071,130.3,8.676
77,1,A,151315,North,5,Frozen Foods,2023-01-27,25613.95,0,26.7,3.071,130.3,8.676
78,1,A,151315,North,6,Meat & Seafood,2023-01-27,33187.12,0,26.7,3.071,130.3,8.676
79,1,A,151315,North,7,Beverages,2023-01-27,24439.72,0,26.7,3.071,130.3,8.676
80,1,A,151315,North,8,Snacks,2023-01-27,27337.22,0,26.7,3.071,130.3,8.676
81,1,A,151315,North,9,Household,2023-01-27,19698.48,0,26.7,3.071,130.3,8.676
82,1,A,151315,North,10,Health & Beauty,2023-01-27,19812.56,0,26.7,3.071,130.3,8.676
83,1,A,151315,North,11,Electronics,2023-01-27,47852.71,0,26.7,3.071,130.3,8.676
84,1,A,151315,North,12,Apparel,2023-01-27,21764.17,0,26.7,3.071,130.3,8.676
85,1,A,151315,North,13,Toys,2023-01-27,12662.69,0,26.7,3.071,130.3,8.676
86,1,A,151315,North,14,Pharmacy,2023-01-27,30093.49,0,26.7,3.071,130.3,8.676
87,1,A,151315,North,16,Home & Garden,2023-01-27,18064.22,0,26.7,3.071,130.3,8.676
88,1,A,151315,North,17,Sporting Goods,2023-01-27,13030.95,0,26.7,3.071,130.3,8.676
89,1,A,151315,North,18,Office Supplies,2023-01-27,8639.99,0,26.7,3.071,130.3,8.676
90,1,A,151315,North,19,Pet Supplies,2023-01-27,11289.86,0,26.7,3.071,130.3,8.676
91,1,A,151315,North,20,Automotive,2023-01-27,13530.27,0,26.7,3.071,130.3,8.676
92,1,A,151315,North,21,Hardware,2023-01-27,10034.91,0,26.7,3.071,130.3,8.676
93,1,A,151315,North,22,Furniture,2023-01-27,21559.82,0,26.7,3.071,130.3,8.676
94,1,A,151315,North,23,Jewelry,2023-01-27,6675.26,0,26.7,3.071,130.3,8.676
95,1,A,151315,North,24,Books & Media,2023-01-27,8496.75,0,26.7,3.071,130.3,8.676
96,1,A,151315,North,25,Baby Products,2023-01-27,11861.2,0,26.7,3.071,130.3,8.676
97,1,A,151315,North,1,Grocery,2023-02-03,85859.66,0,52.5,3.626,133.438,5.978
98,1,A,151315,North,2,Dairy,2023-02-03,41065.91,0,52.5,3.626,133.438,5.978
99,1,A,151315,North,3,Produce,2023-02-03,38127.04,0,52.5,3.626,133.438,5.978
100,1,A,151315,North,4,Bakery,2023-02-03,17686.88,0,52.5,3.626,133.438,5.978
101,1,A,151315,North,5,Frozen Foods,2023-02-03,21821.94,0,52.5,3.626,133.438,5.978
102,1,A,151315,North,6,Meat & Seafood,2023-02-03,27989.24,0,52.5,3.626,133.438,5.978
